country,location_name,year,month,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
Chad,N'djamena,2025,2,12.1131,15.0492,1739571267.857143,31.075,87.93214285714285,12.242857142857144,19.678571428571427,43.42857142857143,1011.5357142857143,29.869285714285716,0.0,0.0,12.035714285714286,0.10714285714285714,28.964285714285715,84.10714285714286,6.517857142857143,3.4642857142857144,8.296428571428573,14.064285714285715,22.650000000000002,296.7267857142857,65.67857142857143,0.7796428571428572,1.9028571428571428,139.0275,581.1182142857143,4.357142857142857,9.964285714285714,54.464285714285715
Chad,N'djamena,2025,3,12.1131,15.0492,1742117864.516129,35.34193548387096,95.61290322580645,14.641935483870968,23.56451612903226,56.25806451612903,1010.6129032258065,29.842903225806452,0.0,0.0,9.935483870967742,0.0,33.70322580645161,92.68064516129031,5.854838709677419,3.032258064516129,7.651612903225806,16.84193548387097,27.093548387096774,305.9661290322581,71.41935483870968,1.3248387096774195,1.336774193548387,83.37532258064518,392.2179032258065,3.5806451612903225,8.258064516129032,50.225806451612904
Chad,N'djamena,2025,4,12.1131,15.0492,1744751100.0,36.236666666666665,97.21666666666667,13.22,21.273333333333333,89.9,1009.4333333333333,29.810333333333332,0.0,0.0,15.766666666666667,0.0,35.1,95.19,5.6,2.8666666666666667,6.766666666666667,15.206666666666667,24.476666666666667,354.7066666666667,73.93333333333334,1.8993333333333335,0.888,65.342,303.2026666666667,3.1666666666666665,6.6,52.43333333333333
Chad,N'djamena,2025,5,12.1131,15.0492,1747385622.580645,35.251612903225805,95.46129032258065,10.361290322580645,16.690322580645162,176.03225806451613,1010.483870967742,29.84032258064516,0.0,0.0,32.354838709677416,0.7419354838709677,34.190322580645166,93.52580645161291,6.241935483870968,3.2580645161290325,5.935483870967742,12.196774193548388,19.635483870967743,449.31129032258065,76.7741935483871,2.5720967741935485,1.2890322580645162,57.439516129032256,220.8243548387097,3.0,6.258064516129032,51.25806451612903
Chad,N'djamena,2025,6,12.1131,15.0492,1750020690.0,32.1,89.77333333333333,9.103333333333333,14.639999999999999,241.13333333333333,1011.7666666666667,29.875333333333334,0.0,0.0,50.7,4.733333333333333,31.686666666666667,89.02333333333333,7.333333333333333,4.066666666666666,5.903333333333333,10.606666666666666,17.053333333333335,509.42833333333334,84.33333333333333,3.0463333333333336,0.9743333333333334,37.986666666666665,114.91583333333332,2.4,4.266666666666667,51.86666666666667
Chad,N'djamena,2025,7,12.1131,15.0492,1752655093.548387,27.56451612903226,81.61290322580645,9.306451612903226,14.96774193548387,213.4516129032258,1013.5806451612904,29.927419354838708,0.028709677419354835,0.0006451612903225806,77.0,24.193548387096776,29.30322580645161,84.71612903225805,7.419354838709677,3.806451612903226,3.7161290322580647,11.103225806451613,17.87741935483871,493.65161290322584,64.03225806451613,5.0606451612903225,0.6743548387096775,18.81032258064516,36.1108064516129,1.7419354838709677,2.0,50.225806451612904
Chad,N'djamena,2025,8,12.1131,15.0492,1755332158.064516,26.112903225806452,79.00645161290322,9.035483870967743,14.541935483870969,217.6451612903226,1012.7741935483871,29.903870967741934,0.1267741935483871,0.005161290322580645,86.64516129032258,29.032258064516128,28.383870967741935,83.09032258064516,7.048387096774194,3.6129032258064515,3.5161290322580645,11.332258064516129,18.238709677419354,480.76129032258063,55.58064516129032,5.156129032258065,0.6266129032258064,17.592903225806452,34.78596774193549,1.5483870967741935,1.967741935483871,49.41935483870968
Chad,N'djamena,2025,9,12.1131,15.0492,1757923137.9310346,27.113793103448273,80.80344827586208,7.503448275862069,12.058620689655172,214.82758620689654,1012.5172413793103,29.895517241379313,0.003448275862068965,0.0,87.6896551724138,21.551724137931036,29.013793103448275,84.21724137931035,7.310344827586207,3.793103448275862,3.2379310344827585,9.23103448275862,14.851724137931035,495.1620689655173,53.275862068965516,6.481379310344828,0.7782758620689655,18.557413793103446,37.42741379310345,1.6896551724137931,2.0,48.03448275862069
Chile,Santiago,2024,5,-33.45,-70.67,1716516646.875,7.21875,44.99375,4.925,7.9125,129.1875,1019.40625,30.1021875,0.14375,0.005625,84.9375,50.0,6.921875,44.48125,6.53125,3.65625,4.15625,8.86875,14.268749999999999,7338.287499999999,17.253125,108.38125,39.1,582.5625,692.44375,5.84375,10.0,80.125
Chile,Santiago,2024,6,-33.45,-70.67,1718502600.0,7.8133333333333335,46.07,4.216666666666667,6.793333333333333,158.36666666666667,1017.7666666666667,30.054333333333332,0.3436666666666667,0.013333333333333334,86.1,56.43333333333333,7.6033333333333335,45.666666666666664,6.483333333333333,3.566666666666667,4.133333333333334,7.71,12.393333333333334,7304.59,2.6266666666666665,93.55333333333333,42.78,626.9466666666667,746.3366666666666,5.8,9.766666666666667,49.8
